Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
1,Bermuda,133.8,88.4,111.9,142.3,128.1,87.4
2,Switzerland,114.3,52.9,84.8,117.5,109.7,117.6
3,Cayman Islands,111.2,73.6,93.1,107.5,100.3,74.7
4,Us Virgin Islands,99.1,47.1,74.1,98.4,85.9,56.4
5,Bahamas,88.8,39.5,65.0,80.1,83.0,38.5
6,Iceland,86.6,40.0,64.1,86.6,91.8,109.6
7,Singapore,82.5,72.4,77.6,74.9,57.1,95.3
8,Norway,80.1,27.5,54.7,77.8,78.7,93.3
9,Barbados,79.2,19.4,50.4,77.2,73.9,34.1
10,Denmark,76.0,27.9,52.8,65.3,85.7,104.1
11,United States,75.5,45.3,60.9,74.9,71.2,116.0
12,Jersey,74.9,51.5,63.6,64.1,92.5,72.5
13,Australia,74.2,36.5,56.0,73.9,71.9,90.7
14,Hong Kong (China),71.5,58.8,65.4,78.5,48.3,83.7
15,Canada,68.2,35.6,52.5,69.7,64.9,83.2
16,Guernsey,68.2,45.7,57.3,69.6,66.1,83.4
17,New Zealand,68.1,28.3,48.9,71.0,60.5,90.8
18,Austria,67.3,23.1,46.0,65.0,61.4,84.5
19,Ireland,67.2,46.4,57.2,59.1,68.6,83.4
20,France,66.9,22.0,45.3,68.8,60.3,83.6
21,Finland,66.2,20.6,44.2,62.0,66.4,98.3
22,Luxembourg,65.5,41.5,53.9,64.3,71.1,149.4
23,Israel,65.2,29.7,48.1,58.1,71.9,79.3
24,Puerto Rico,64.8,24.4,45.3,63.9,51.9,75.3
25,Netherlands,64.7,33.8,49.8,57.5,63.3,105.3
26,United Kingdom,64.5,33.4,49.5,55.7,66.3,90.0
27,South Korea,63.8,16.2,40.9,81.8,33.2,89.4
28,Belgium,63.7,21.0,43.1,56.2,70.5,91.2
29,Germany,63.5,25.9,45.4,58.1,54.6,100.6
30,Sweden,62.5,22.7,43.3,61.6,57.9,94.3
31,Isle Of Man,60.4,26.5,44.1,48.9,70.6,168.8
32,Italy,59.6,20.9,41.0,57.1,57.2,63.1
33,United Arab Emirates,57.7,45.4,51.8,44.8,51.6,101.1
34,Cyprus,56.9,26.7,42.3,49.1,56.1,59.6
35,Macao (China),56.8,29.8,43.8,64.0,41.0,96.9
36,Yemen,56.3,6.9,32.5,63.9,31.2,17.4
37,Malta,55.7,24.7,40.8,49.9,59.8,59.1
38,Uruguay,55.4,14.6,35.7,50.3,51.2,47.1
39,Greece,54.9,13.5,34.9,48.2,55.0,42.0
40,Qatar,54.2,38.6,46.7,43.8,50.6,133.2
41,Costa Rica,53.9,16.0,35.6,54.1,45.7,37.4
42,Jamaica,53.6,13.1,34.1,57.3,39.9,28.3
43,Estonia,53.6,15.0,35.0,45.6,50.2,69.6
44,Trinidad And Tobago,53.3,12.9,33.9,53.2,46.0,35.7
45,Bahrain,52.5,21.9,37.8,44.0,43.9,86.2
46,Brunei,51.6,20.3,36.5,65.5,27.4,74.7
47,Latvia,51.1,11.6,32.0,42.3,46.7,53.2
48,Japan,50.9,14.5,33.4,55.1,32.1,100.7
49,Maldives,50.2,23.0,37.1,47.5,28.9,40.2
50,Slovenia,49.8,16.6,33.8,46.6,42.8,65.6
51,Czech Republic,49.4,20.3,35.4,44.4,36.1,65.8
52,Taiwan,49.2,13.3,31.9,61.4,25.5,79.5
53,Lithuania,48.9,15.5,32.8,43.8,46.9,60.1
54,Spain,48.6,23.3,36.4,45.3,45.0,79.9
55,Belize,48.4,10.2,30.0,47.1,28.6,48.5
56,Slovakia,48.1,14.8,32.0,45.0,36.0,56.2
57,Panama,47.8,20.9,34.9,46.1,44.8,34.5
58,Lebanon,47.6,16.4,32.6,34.3,38.9,19.5
59,Saudi Arabia,47.4,11.6,30.1,40.7,33.1,106.2
60,Portugal,46.9,24.6,36.2,43.1,38.9,47.0
61,Croatia,46.1,13.0,30.1,41.2,43.1,59.9
62,Cuba,45.9,10.4,28.8,40.8,26.4,1.8
63,Mozambique,45.2,20.7,33.4,36.3,42.2,12.5
64,Guyana,45.1,12.7,29.5,46.9,43.9,22.2
65,Senegal,45.1,20.5,33.2,40.4,41.6,18.4
66,Ivory Coast,44.7,16.2,31.0,38.4,27.9,8.7
67,Hungary,44.4,11.3,28.5,40.2,38.7,50.3
68,Oman,44.4,13.0,29.3,39.0,34.5,109.8
69,Kuwait,43.8,23.8,34.1,33.8,38.2,125.7
70,Jordan,43.1,7.4,25.9,36.7,36.9,36.5
71,Mexico,43.1,16.4,30.2,44.7,37.0,37.9
72,Ethiopia,43.1,14.9,29.5,39.8,19.9,10.7
73,Palestine,42.2,8.0,25.7,39.3,27.6,37.4
74,Poland,42.1,18.7,30.8,35.8,36.8,66.6
75,Chile,41.6,11.6,27.2,42.0,37.4,36.4
76,Montenegro,41.4,16.1,29.3,36.4,37.0,41.8
77,Albania,41.3,10.0,26.2,39.3,32.2,32.0
78,El Salvador,41.3,16.1,29.2,42.8,30.9,21.5
79,Mauritius,41.1,10.9,26.6,42.4,28.7,33.0
80,Zambia,39.8,8.5,24.7,30.9,20.2,17.6
81,Cameroon,39.6,16.7,28.6,33.5,39.0,8.5
82,Bulgaria,39.5,9.7,25.1,38.1,34.7,52.8
83,Venezuela,39.4,5.7,23.1,38.0,39.7,12.7
84,Armenia,39.4,19.6,29.8,33.9,38.3,30.4
85,Romania,39.0,10.4,25.2,36.4,36.4,49.2
86,Dominican Republic,38.8,10.9,25.4,36.1,33.6,23.6
87,Myanmar,38.7,14.9,27.2,31.2,16.2,15.3
88,Cambodia,38.5,10.3,24.9,41.1,23.2,17.2
89,Serbia,38.4,12.4,25.9,35.2,31.4,39.9
90,Guatemala,37.6,12.4,25.5,38.6,28.2,29.6
91,Georgia,37.4,15.6,26.9,35.7,35.5,27.5
92,Honduras,37.0,9.9,24.0,36.0,25.9,35.9
93,Zimbabwe,36.8,10.5,24.1,33.0,26.9,21.5
94,Thailand,36.0,12.0,24.4,40.6,18.9,33.1
95,Brazil,35.2,8.7,22.4,32.1,26.7,29.9
96,Bosnia And Herzegovina,35.1,5.6,20.9,32.9,22.8,46.7
97,Moldova,34.9,9.2,22.5,31.0,27.6,35.0
98,China,34.6,13.5,24.4,37.6,22.7,60.1
99,Fiji,34.3,15.7,25.3,38.7,28.3,66.3
100,North Macedonia,34.2,6.5,20.8,31.5,23.2,37.3
101,Turkey,33.9,12.9,23.8,30.3,26.6,38.6
102,Philippines,33.7,8.1,21.3,34.8,18.4,25.6
103,Kazakhstan,33.6,13.7,24.0,31.9,30.1,37.0
104,South Africa,33.4,11.5,22.9,27.1,29.2,83.9
105,Nicaragua,33.4,8.3,21.3,37.2,22.3,17.8
106,Ecuador,33.4,8.6,21.5,33.4,25.6,36.3
107,Mongolia,32.8,10.6,22.1,37.1,22.6,24.1
108,Sri Lanka,32.3,5.7,19.5,43.0,16.8,14.6
109,Peru,31.8,9.7,21.2,31.5,22.2,27.5
110,Kosovo (Disputed Territory),31.2,8.5,20.3,28.6,22.5,34.5
111,Azerbaijan,31.2,7.6,19.8,28.6,30.9,29.4
112,Colombia,30.8,8.5,20.0,30.5,21.7,28.3
113,Malaysia,30.7,8.1,19.8,35.4,19.0,61.8
114,Uganda,30.7,7.1,19.3,27.8,22.7,15.2
115,Vietnam,30.7,9.4,20.4,34.4,15.2,33.0
116,Russia,30.6,10.5,20.9,26.5,28.0,41.7
117,Botswana,30.5,6.0,18.7,28.4,23.3,57.2
118,Iraq,30.4,8.0,19.6,27.3,21.5,42.1
119,Morocco,30.3,7.6,19.4,28.9,20.6,30.5
120,Namibia,30.2,10.0,20.5,29.4,27.9,52.0
121,Algeria,29.5,4.1,17.3,35.3,13.5,25.3
122,Tunisia,28.9,4.8,17.3,29.9,15.8,25.9
123,Ukraine,28.9,8.3,19.0,26.6,23.2,32.2
124,Somalia,28.7,4.1,16.9,30.4,24.8,30.5
125,Egypt,28.7,5.4,17.5,27.1,21.8,15.3
126,Indonesia,28.5,8.1,18.7,33.5,14.9,25.5
127,Bolivia,28.4,7.1,18.2,26.0,20.4,32.5
128,Argentina,27.9,6.8,17.7,25.1,24.5,35.9
129,Paraguay,27.4,9.8,18.9,24.9,20.1,27.0
130,Kyrgyzstan,27.2,10.8,19.3,25.9,21.2,24.8
131,Belarus,27.1,7.7,17.7,24.2,26.1,40.8
132,Iran,27.0,8.8,18.2,21.3,17.1,22.0
133,Uzbekistan,26.9,12.2,19.9,27.5,20.7,27.7
134,Nepal,26.9,4.0,15.9,24.5,18.0,20.6
135,Ghana,26.6,10.9,19.1,27.7,23.9,15.1
136,Tanzania,26.3,7.7,17.3,26.1,21.1,21.6
137,Rwanda,25.8,9.2,17.8,25.7,19.6,22.1
138,Madagascar,25.5,7.9,17.0,23.5,14.2,12.3
139,Syria,25.0,4.3,15.0,23.0,16.8,4.5
140,Bangladesh,24.8,2.7,14.1,26.3,14.2,26.1
141,Kenya,24.6,6.9,16.1,23.5,18.7,30.7
142,Afghanistan,23.4,2.8,13.4,17.7,13.6,22.5
143,India,22.2,6.0,14.4,23.5,16.1,61.2
144,Libya,21.7,4.5,13.4,21.9,16.0,32.7
145,Nigeria,19.0,14.4,16.8,20.9,13.6,9.8
146,Pakistan,18.5,2.9,11.0,16.4,12.9,24.2